,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long,renovated_post2000,has_basement
2044,1118001370,1/2/2015,1570000.0,3,3,2340,8828,1,0.0,0.0,4,9,1950_to_1975,98112,47.632,-122.289,0,0
2083,8106100105,11/14/2014,3850000.0,4,4,5770,21300,2,1.0,4.0,4,11,1975_to_1997,98040,47.585,-122.22200000000001,0,0
2110,7787400030,6/9/2014,1640000.0,5,4,4220,26784,1,0.0,0.0,3,10,1950_to_1975,98004,47.6003,-122.206,1,1
2123,4379600030,7/29/2014,1330000.0,3,4,6400,76665,1,0.0,2.0,4,10,1950_to_1975,98177,47.7313,-122.37,0,0
2134,4219400520,6/16/2014,1740000.0,4,2,3040,5000,2,0.0,3.0,4,9,pre1950,98105,47.6565,-122.27799999999999,0,1
2138,1224059053,10/27/2014,1700000.0,5,2,2500,15250,2,1.0,4.0,5,8,pre1950,98008,47.5883,-122.111,0,0
2177,3343301920,3/2/2015,1650000.0,3,3,2690,8890,2,1.0,4.0,4,10,1950_to_1975,98006,47.5487,-122.197,0,0
2179,6448600060,2/26/2015,1550000.0,5,2,2450,20805,2,0.0,0.0,4,9,1950_to_1975,98004,47.6275,-122.227,0,0
2198,1329000030,9/4/2014,1680000.0,4,4,4490,34982,2,0.0,0.0,3,12,1997_to_2015,98005,47.6406,-122.156,0,0
2234,4139420370,8/11/2014,1760000.0,4,5,6055,21630,1,0.0,3.0,4,12,1975_to_1997,98006,47.5524,-122.11200000000001,0,1
2252,1922000070,6/9/2014,1340000.0,4,2,4250,19387,2,0.0,2.0,4,9,1950_to_1975,98040,47.5578,-122.212,0,1
2265,3859900060,1/12/2015,2750000.0,5,4,6300,16065,2,0.0,1.0,3,12,1997_to_2015,98004,47.5922,-122.20700000000001,0,1
2312,2451000070,4/2/2015,1400000.0,4,2,2770,8879,2,0.0,0.0,3,9,1997_to_2015,98004,47.5831,-122.193,0,0
2318,1118000465,3/12/2015,1810000.0,3,4,3780,8295,2,0.0,0.0,3,9,1950_to_1975,98112,47.6394,-122.29,0,1
2337,1724069062,7/14/2014,1370000.0,2,3,2700,3444,3,1.0,3.0,3,9,1975_to_1997,98075,47.5684,-122.06,0,0
2397,3395000070,9/27/2014,1540000.0,4,3,4910,15139,1,0.0,0.0,4,10,1950_to_1975,98004,47.6444,-122.22,0,1
2427,5026900160,4/24/2015,1600000.0,5,2,3100,5374,2,0.0,0.0,4,9,pre1950,98122,47.6154,-122.28299999999999,0,0
2442,7524900003,12/10/2014,3280000.0,2,2,6840,10000,2,1.0,4.0,3,11,1997_to_2015,98008,47.6042,-122.11200000000001,0,1
2447,4389200796,5/22/2014,1600000.0,3,2,3160,12824,1,0.0,2.0,4,9,1950_to_1975,98004,47.6151,-122.21600000000001,0,1
2459,2175100055,12/30/2014,1700000.0,5,5,4930,14649,2,0.0,3.0,3,11,1997_to_2015,98040,47.5829,-122.24700000000001,0,1
2471,7787400105,3/6/2015,1870000.0,4,2,2950,43560,1,0.0,2.0,4,9,1950_to_1975,98004,47.5988,-122.20700000000001,0,1
2561,8722100570,4/3/2015,1600000.0,4,2,2940,5735,1,0.0,0.0,3,9,1950_to_1975,98112,47.6381,-122.304,0,1
2562,7856400240,6/27/2014,1620000.0,4,3,3900,9750,1,0.0,4.0,5,10,1950_to_1975,98006,47.5605,-122.15799999999999,0,1
2563,7856400240,2/11/2015,1650000.0,4,3,3900,9750,1,0.0,4.0,5,10,1950_to_1975,98006,47.5605,-122.15799999999999,0,1
2618,2624059036,10/3/2014,1600000.0,5,4,5130,43123,2,0.0,0.0,3,11,1975_to_1997,98006,47.544,-122.126,0,0
2624,7738500731,8/15/2014,4500000.0,5,6,6640,40014,2,1.0,4.0,3,12,1997_to_2015,98155,47.7493,-122.28,0,1
2666,4139500200,3/5/2015,1380000.0,6,4,5740,10312,2,0.0,2.0,3,11,1997_to_2015,98006,47.5533,-122.11,0,1
2779,5701500030,6/1/2014,1510000.0,4,4,3480,7232,2,0.0,0.0,3,9,pre1950,98144,47.5859,-122.291,1,0
2788,824059331,11/8/2014,1610000.0,5,4,3530,13260,2,0.0,0.0,3,10,1997_to_2015,98040,47.5761,-122.205,0,0
2816,5035300850,11/10/2014,1390000.0,5,4,3290,6480,2,0.0,0.0,5,10,pre1950,98199,47.653,-122.415,0,1
2834,7582700100,11/11/2014,1320000.0,3,3,3440,4080,2,0.0,0.0,3,9,1997_to_2015,98105,47.6644,-122.28,0,1
2843,9359100750,10/31/2014,1400000.0,4,4,3080,10550,2,0.0,3.0,3,8,1975_to_1997,98040,47.5806,-122.244,1,1
2856,6752500090,1/27/2015,1840000.0,4,4,4870,39190,2,0.0,0.0,3,12,1975_to_1997,98006,47.5447,-122.124,0,0
2862,4114601570,11/18/2014,3600000.0,3,3,5020,12431,2,1.0,4.0,3,10,pre1950,98144,47.5925,-122.287,1,1
2897,9808100100,2/2/2015,3000000.0,5,3,5370,14091,2,0.0,0.0,3,10,pre1950,98004,47.6499,-122.21600000000001,1,1
2972,3625049014,8/29/2014,2950000.0,4,4,4860,23885,2,0.0,0.0,3,12,1975_to_1997,98039,47.6172,-122.23,0,0
3007,1342300265,10/1/2014,1330000.0,4,3,2470,4760,2,0.0,0.0,5,9,pre1950,98112,47.6331,-122.31,0,1
3018,3377900195,9/29/2014,2530000.0,4,6,6930,45100,1,0.0,0.0,4,11,pre1950,98006,47.5547,-122.14399999999999,0,0
3033,1329000090,12/19/2014,1800000.0,4,4,3930,39098,2,0.0,0.0,3,12,1997_to_2015,98005,47.6399,-122.15799999999999,0,0
3037,5452301785,2/18/2015,2300000.0,4,4,4070,13860,2,0.0,3.0,3,10,1997_to_2015,98040,47.59,-122.229,0,0
3089,251620110,7/2/2014,2290000.0,4,2,4080,18362,2,0.0,2.0,4,11,1975_to_1997,98004,47.6344,-122.214,0,0
3098,622069006,8/20/2014,1500000.0,4,6,6550,217374,1,0.0,0.0,3,11,1997_to_2015,98058,47.4302,-122.095,0,1
3118,7237500590,11/17/2014,1320000.0,4,5,6110,10369,2,0.0,0.0,3,11,1997_to_2015,98059,47.5285,-122.135,0,0
3150,1336800015,5/21/2014,1510000.0,4,3,3660,5800,2,0.0,0.0,3,10,pre1950,98112,47.6283,-122.31200000000001,0,1
3154,1827200265,9/11/2014,1900000.0,2,3,3690,32044,2,1.0,4.0,3,12,1975_to_1997,98166,47.4485,-122.369,0,0
3184,1118001645,1/30/2015,1400000.0,3,3,3020,6073,2,0.0,0.0,4,9,1950_to_1975,98112,47.6332,-122.29,0,0
3226,9808700405,6/4/2014,1900000.0,3,2,2660,13367,2,0.0,2.0,3,10,1975_to_1997,98004,47.6501,-122.21700000000001,0,0
3255,1330300300,4/15/2015,1900000.0,3,4,3150,8550,2,0.0,0.0,3,10,1997_to_2015,98112,47.6387,-122.28399999999999,0,0
3274,8085400490,8/1/2014,1310000.0,5,2,2770,8100,2,0.0,0.0,3,9,1997_to_2015,98004,47.6341,-122.208,0,0
3278,8964800025,2/26/2015,1970000.0,5,4,3940,13738,2,0.0,3.0,4,9,1950_to_1975,98004,47.6203,-122.212,0,0
3335,1959701745,11/7/2014,1680000.0,6,2,4910,6600,2,0.0,0.0,5,10,pre1950,98102,47.6458,-122.32,0,1
3341,3861470110,6/23/2014,2080000.0,4,4,4230,20377,2,0.0,0.0,3,11,1975_to_1997,98004,47.5954,-122.206,0,0
3381,1118001408,11/24/2014,2540000.0,5,5,5410,13431,2,0.0,0.0,4,10,pre1950,98112,47.6306,-122.288,0,1
3404,5318100645,5/27/2014,1570000.0,4,4,3070,5850,2,0.0,0.0,5,9,pre1950,98112,47.633,-122.28299999999999,0,1
3515,5700003640,5/19/2014,2100000.0,5,4,5340,10655,2,0.0,3.0,4,10,pre1950,98144,47.5795,-122.285,0,1
3522,6448000090,5/12/2014,1580000.0,5,3,3650,20150,1,0.0,0.0,4,10,1950_to_1975,98004,47.6215,-122.22399999999999,0,1
3582,9272200090,2/4/2015,1600000.0,4,4,3780,6000,2,0.0,4.0,4,11,pre1950,98116,47.5922,-122.38799999999999,0,1
3683,809002680,10/14/2014,1440000.0,4,2,2410,6000,2,0.0,0.0,3,8,pre1950,98109,47.6369,-122.355,0,0
3704,822069112,4/23/2015,1350000.0,4,5,5230,89298,2,0.0,0.0,3,11,1997_to_2015,98038,47.4097,-122.06299999999999,0,0
3731,1118000110,5/29/2014,2450000.0,4,4,4730,13586,2,0.0,0.0,5,10,pre1950,98112,47.6319,-122.288,0,1
3744,4389201250,5/13/2014,2450000.0,5,4,4430,9000,2,0.0,0.0,3,10,1997_to_2015,98004,47.6168,-122.21600000000001,0,0
3757,2540700110,2/12/2015,1910000.0,4,4,4210,18564,2,0.0,0.0,3,11,1997_to_2015,98039,47.6206,-122.225,0,0
3765,4219401080,5/20/2014,1740000.0,4,4,3300,4545,2,0.0,4.0,3,10,pre1950,98105,47.6561,-122.274,0,1
3773,3885803245,3/5/2015,1650000.0,5,4,3310,8400,2,0.0,0.0,3,10,1997_to_2015,98033,47.6914,-122.214,0,0
3809,1118000301,12/19/2014,2890000.0,4,4,5780,7173,2,0.0,0.0,3,11,1997_to_2015,98112,47.6374,-122.288,0,1
3817,5452301810,9/5/2014,1580000.0,5,4,4220,9240,2,0.0,2.0,5,11,1975_to_1997,98040,47.5895,-122.229,0,1
3857,1118001295,12/3/2014,2200000.0,4,3,3540,11098,2,0.0,0.0,3,10,pre1950,98112,47.63399999999999,-122.288,0,0
3865,1732800820,6/19/2014,1330000.0,4,2,2440,3600,2,0.0,0.0,4,8,pre1950,98119,47.6298,-122.36200000000001,0,0
3867,2524049166,9/18/2014,2950000.0,5,5,6240,47480,1,0.0,3.0,3,11,1997_to_2015,98040,47.5317,-122.23299999999999,0,1
3902,4055700378,10/9/2014,1420000.0,4,3,3600,38016,2,0.0,2.0,3,11,1975_to_1997,98034,47.7124,-122.25299999999999,0,1
3910,9808700762,6/11/2014,7060000.0,5,4,10040,37325,2,1.0,2.0,3,11,pre1950,98004,47.65,-122.214,1,1
3920,4141800215,11/26/2014,1500000.0,4,4,3770,4000,2,0.0,0.0,5,9,pre1950,98122,47.6157,-122.287,0,1
3924,7135520300,4/7/2015,1300000.0,3,3,4120,16365,1,0.0,2.0,3,12,1997_to_2015,98059,47.5265,-122.148,0,0
3930,1269200229,7/23/2014,1380000.0,3,3,3786,38038,1,1.0,4.0,3,9,1975_to_1997,98070,47.3907,-122.448,1,1
3985,629000615,10/22/2014,1500000.0,4,3,3070,10375,2,0.0,0.0,3,10,1950_to_1975,98004,47.5862,-122.198,1,1
4009,724069059,5/9/2014,2400000.0,3,2,3000,11665,2,1.0,4.0,3,11,1997_to_2015,98075,47.5884,-122.086,0,0
4011,6169901130,9/11/2014,1390000.0,3,3,2490,3600,2,0.0,3.0,4,8,pre1950,98119,47.6313,-122.369,0,1
4023,8964800930,3/17/2015,1350000.0,4,2,2240,10296,1,0.0,0.0,5,8,pre1950,98004,47.6177,-122.21700000000001,0,0
4028,5700003585,12/29/2014,2500000.0,5,3,5620,12672,2,0.0,0.0,4,11,pre1950,98144,47.5786,-122.287,0,1
4031,685000115,10/7/2014,2150000.0,8,6,4340,9415,2,0.0,0.0,3,8,1950_to_1975,98004,47.6316,-122.20200000000001,0,0
4145,6447300265,10/14/2014,4000000.0,4,6,7080,16573,2,0.0,0.0,3,12,1997_to_2015,98039,47.6151,-122.22399999999999,0,1
4185,6613000750,10/1/2014,1600000.0,4,3,3680,5000,2,0.0,3.0,3,9,pre1950,98105,47.6599,-122.26899999999999,0,1
4186,2303900090,7/29/2014,2880000.0,4,2,5760,32033,2,0.0,4.0,4,12,1975_to_1997,98177,47.7288,-122.37,0,1
4214,1025039086,9/16/2014,1880000.0,3,2,3280,29111,2,1.0,3.0,3,11,pre1950,98199,47.6699,-122.416,0,0
4216,3342104046,7/8/2014,1570000.0,4,2,2890,18226,3,1.0,4.0,3,10,1975_to_1997,98056,47.5169,-122.209,0,0
4251,913000315,6/5/2014,1300000.0,6,4,3902,3880,3,0.0,4.0,4,9,1975_to_1997,98116,47.5837,-122.399,0,1
4264,251620090,5/30/2014,2400000.0,4,3,4140,20734,1,0.0,1.0,3,10,1975_to_1997,98004,47.6344,-122.215,1,1
4331,4217401055,5/2/2014,1400000.0,4,2,2920,4000,2,0.0,0.0,5,8,pre1950,98105,47.6578,-122.28,0,1
4335,3760500336,11/26/2014,2130000.0,4,3,3190,19513,2,0.0,4.0,4,10,1975_to_1997,98034,47.6991,-122.235,0,0
4402,3505100756,11/6/2014,2050000.0,4,3,4280,18834,1,0.0,4.0,5,11,1950_to_1975,98116,47.5811,-122.4,0,1
4404,5154200015,4/14/2015,1710000.0,3,3,2490,27702,2,1.0,4.0,3,10,1997_to_2015,98116,47.5596,-122.40299999999999,0,0
4407,2470100110,8/4/2014,5570000.0,5,6,9200,35069,2,0.0,0.0,3,13,1997_to_2015,98039,47.6289,-122.23299999999999,0,1
4422,7781600100,9/5/2014,1340000.0,3,3,2730,38869,2,0.0,4.0,3,9,1950_to_1975,98146,47.4857,-122.361,1,1
4424,2125059013,4/20/2015,1670000.0,5,4,4320,40816,2,0.0,0.0,4,11,1975_to_1997,98004,47.644,-122.185,0,0
4482,1724069059,5/24/2014,2000000.0,5,4,4580,4443,3,1.0,4.0,3,10,1997_to_2015,98075,47.5682,-122.059,0,0
4531,5556300076,4/23/2015,1440000.0,3,2,2630,9705,2,0.0,2.0,4,8,1975_to_1997,98052,47.6485,-122.12100000000001,0,0
4623,3225059223,5/19/2014,1410000.0,4,4,3410,10769,2,0.0,0.0,3,10,1997_to_2015,98004,47.6081,-122.198,0,0
4631,1324049015,11/11/2014,2490000.0,4,2,3440,23954,2,1.0,3.0,5,10,pre1950,98040,47.5636,-122.23100000000001,0,1
4670,2998800110,3/25/2015,1350000.0,4,3,3440,4920,2,0.0,4.0,3,10,1997_to_2015,98116,47.5727,-122.40899999999999,0,1
4739,31000165,9/11/2014,1490000.0,5,4,3620,7821,2,0.0,2.0,3,10,1950_to_1975,98040,47.5738,-122.215,1,1
4753,868001705,2/6/2015,1470000.0,3,2,2480,9900,2,0.0,3.0,3,10,pre1950,98177,47.7018,-122.381,0,1
4758,9201300050,8/14/2014,1850000.0,5,2,2800,8442,2,1.0,4.0,3,9,1950_to_1975,98075,47.5784,-122.07600000000001,1,0
4807,9831200500,3/4/2015,2480000.0,5,4,6810,7500,2,0.0,0.0,3,13,pre1950,98102,47.6285,-122.322,0,1
4855,1338300170,3/24/2015,2050000.0,5,4,4690,8208,2,0.0,0.0,3,9,pre1950,98112,47.6321,-122.304,0,1
4917,9809000020,5/13/2014,1900000.0,5,2,3120,16672,2,0.0,0.0,4,9,1950_to_1975,98004,47.6458,-122.219,0,0
4918,9809000020,3/13/2015,1940000.0,5,2,3120,16672,2,0.0,0.0,4,9,1950_to_1975,98004,47.6458,-122.219,0,0
4932,1250203070,5/14/2014,1400000.0,3,2,2550,7200,2,0.0,2.0,3,10,1975_to_1997,98144,47.5996,-122.288,1,0
4962,8678500020,12/13/2014,1580000.0,4,4,5830,131116,2,0.0,0.0,3,11,1997_to_2015,98024,47.5986,-121.949,0,0
5044,7856410430,5/30/2014,1390000.0,6,3,5700,20000,1,0.0,4.0,4,10,1975_to_1997,98006,47.5601,-122.16,0,1
5049,4217400305,3/31/2015,1300000.0,4,2,3070,4000,2,0.0,0.0,4,8,pre1950,98105,47.659,-122.281,0,1
5054,1125069153,8/22/2014,1530000.0,4,4,5990,111078,2,0.0,0.0,3,11,1997_to_2015,98053,47.667,-121.994,0,0
5112,9412400185,6/19/2014,1310000.0,4,4,4750,13912,2,0.0,2.0,3,10,1997_to_2015,98118,47.5332,-122.265,0,1
5155,9551201585,7/1/2014,1300000.0,6,3,2630,9420,2,0.0,0.0,5,9,pre1950,98103,47.6695,-122.337,0,1
5157,9320200050,12/16/2014,1500000.0,4,3,2930,25697,1,0.0,0.0,4,9,1950_to_1975,98004,47.6264,-122.226,0,1
5288,3856900507,5/12/2014,1320000.0,4,4,3460,3997,2,0.0,0.0,3,10,1997_to_2015,98103,47.6718,-122.329,0,1
5363,7215900020,12/9/2014,1600000.0,4,4,4060,9486,2,0.0,0.0,3,10,1997_to_2015,98033,47.6634,-122.2,0,0
5428,3885808005,3/5/2015,1740000.0,5,3,3930,5500,2,0.0,0.0,3,9,1997_to_2015,98033,47.6802,-122.208,0,1
5444,6065300840,5/1/2015,2850000.0,4,4,5040,17208,1,0.0,0.0,5,10,1975_to_1997,98006,47.5701,-122.18799999999999,0,1
5446,7237501190,10/10/2014,1780000.0,4,3,4890,13402,2,0.0,0.0,3,13,1997_to_2015,98059,47.5303,-122.131,0,0
5584,6447300225,11/6/2014,1880000.0,3,3,2620,17919,1,0.0,1.0,4,9,pre1950,98039,47.6144,-122.228,0,0
5595,9808100185,10/3/2014,1690000.0,4,4,4020,13515,2,0.0,0.0,3,11,1997_to_2015,98004,47.6462,-122.212,0,0
5612,3880900010,6/4/2014,2400000.0,5,3,3410,9088,2,0.0,3.0,3,9,pre1950,98119,47.6285,-122.361,0,1
5661,9253900417,1/28/2015,1600000.0,3,2,2850,19593,2,1.0,4.0,3,10,1975_to_1997,98008,47.5894,-122.111,0,1
5670,7933250050,10/28/2014,1420000.0,5,3,4020,4500,2,0.0,0.0,3,9,1997_to_2015,98004,47.6349,-122.204,0,1
5675,6645900010,11/20/2014,1470000.0,4,2,3030,10189,1,0.0,0.0,3,9,1997_to_2015,98004,47.6367,-122.206,0,1
5697,1118002000,6/24/2014,2470000.0,5,5,6390,13180,2,0.0,0.0,3,10,pre1950,98112,47.6312,-122.291,0,1
5711,9201300020,8/11/2014,1520000.0,3,2,2610,9409,1,0.0,4.0,4,8,1950_to_1975,98075,47.5789,-122.07600000000001,0,0
5734,6613000585,1/8/2015,1620000.0,3,2,3490,9362,1,0.0,3.0,5,9,1950_to_1975,98105,47.6605,-122.27,0,1
5744,6744701310,4/15/2015,1850000.0,4,2,3830,11972,1,1.0,4.0,3,11,1975_to_1997,98155,47.7404,-122.28399999999999,0,1
5750,4139490190,7/11/2014,1500000.0,4,4,4410,12426,2,0.0,2.0,3,12,1975_to_1997,98006,47.5518,-122.10700000000001,0,1
5764,9197800010,10/17/2014,1460000.0,4,4,4200,14353,2,0.0,2.0,3,12,1975_to_1997,98040,47.5331,-122.21700000000001,0,1
